Hour,Price_EUR_per_kWh
00:00,0.06779
01:00,0.04944
02:00,0.03408
03:00,0.02807
04:00,0.02657
05:00,0.02137
06:00,0.00774
07:00,0.00046
08:00,-0.00035
09:00,-0.00283
10:00,-0.00637
11:00,-0.00929
12:00,-0.01499
13:00,-0.023420000000000003
14:00,-0.025
15:00,-0.02
16:00,-0.0092
17:00,-0.00175
18:00,0.00528
19:00,0.062079999999999996
20:00,0.09487999999999999
21:00,0.10263
22:00,0.11228
23:00,0.1034
