timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
09:18:37,0,12260,79.0,440.586,1,440.586,12.5,real_measurement
09:18:42,0,12418,79.0,445.522,1,445.522,9.9,real_measurement
09:18:47,0,12575,78.0,445.915,1,445.915,9.0,real_measurement
09:18:57,0,12665,0.0,124.147,1,124.147,8.5,real_measurement
09:19:05,0,12677,0.0,122.67,1,122.67,12.2,real_measurement
09:19:10,0,12813,70.0,399.207,1,399.207,8.8,real_measurement
09:19:18,0,12943,20.0,123.318,1,123.318,12.0,real_measurement
09:19:23,0,13083,74.0,420.577,1,420.577,18.2,real_measurement
09:19:28,0,13228,74.0,422.221,1,422.221,11.1,real_measurement
09:19:33,0,13382,76.0,440.088,1,440.088,8.9,real_measurement
09:19:38,0,13522,78.0,425.411,1,425.411,12.2,real_measurement
09:19:43,0,13667,68.0,417.606,1,417.606,9.3,real_measurement
09:19:48,0,13811,74.0,421.648,1,421.648,14.2,real_measurement
09:19:53,0,13956,70.0,418.965,1,418.965,8.1,real_measurement
09:19:58,0,14101,74.0,415.577,1,415.577,14.8,real_measurement
09:20:03,0,14246,72.0,422.842,1,422.842,11.5,real_measurement
09:20:08,0,14391,74.0,421.748,1,421.748,9.6,real_measurement
09:20:13,0,14536,72.0,417.042,1,417.042,15.5,real_measurement
09:20:18,0,14681,67.0,418.484,1,418.484,8.7,real_measurement
09:20:23,0,14830,73.0,425.324,1,425.324,6.9,real_measurement
09:20:28,0,14975,69.0,421.724,1,421.724,12.5,real_measurement
09:20:33,0,15120,73.0,419.895,1,419.895,11.7,real_measurement
09:20:38,0,15271,76.0,447.9,1,447.9,13.4,real_measurement
09:20:43,0,15416,60.0,401.331,1,401.331,12.9,real_measurement
09:20:48,0,15560,72.0,419.622,1,419.622,12.1,real_measurement
09:20:53,0,15711,79.0,440.54,1,440.54,9.5,real_measurement
09:20:58,0,15854,71.0,402.832,1,402.832,11.9,real_measurement
09:21:03,0,15999,72.0,416.348,1,416.348,12.3,real_measurement
09:21:08,0,16147,64.0,390.698,1,390.698,12.5,real_measurement
09:21:13,0,16291,70.0,421.665,1,421.665,15.4,real_measurement
09:21:18,0,16438,68.0,424.325,1,424.325,5.2,real_measurement
09:21:23,0,16582,73.0,423.852,1,423.852,20.1,real_measurement
09:21:28,0,16736,79.0,445.398,1,445.398,8.9,real_measurement
09:21:33,0,16890,68.0,414.093,1,414.093,8.9,real_measurement
09:21:38,0,17035,80.0,447.456,1,447.456,13.6,real_measurement
09:21:43,0,17177,69.0,408.824,1,408.824,17.4,real_measurement
09:21:48,0,17322,71.0,420.077,1,420.077,13.2,real_measurement
09:21:53,0,17473,67.0,422.428,1,422.428,11.9,real_measurement
09:21:58,0,17618,71.0,419.642,1,419.642,9.0,real_measurement
09:22:03,0,17767,72.0,411.834,1,411.834,15.2,real_measurement
09:22:08,0,17916,74.0,427.62,1,427.62,11.9,real_measurement
09:22:13,0,18061,74.0,419.726,1,419.726,10.9,real_measurement
09:22:18,0,18207,71.0,420.722,1,420.722,10.1,real_measurement
09:22:23,0,18353,74.0,421.383,1,421.383,10.7,real_measurement
09:22:28,0,18499,72.0,418.619,1,418.619,8.2,real_measurement
09:22:33,0,18645,71.0,426.56,1,426.56,16.5,real_measurement
09:22:38,0,18792,73.0,421.907,1,421.907,9.2,real_measurement
09:22:43,0,18944,76.0,447.288,1,447.288,12.6,real_measurement
09:22:48,0,19089,74.0,424.777,1,424.777,7.1,real_measurement
09:22:53,0,19244,80.0,449.419,1,449.419,15.0,real_measurement
09:22:58,0,19398,69.0,407.298,1,407.298,9.7,real_measurement
09:23:03,0,19557,80.0,449.425,1,449.425,11.1,real_measurement
09:23:08,0,19706,70.0,402.036,1,402.036,12.6,real_measurement
09:23:13,0,19857,77.0,447.013,1,447.013,11.8,real_measurement
09:23:18,0,20016,81.0,445.456,1,445.456,12.6,real_measurement
09:23:37,0,20018,0.0,123.835,1,123.835,11.0,real_measurement
09:23:56,1,0,0.0,124.313,1,124.313,11.5,real_measurement
09:24:04,1,2,0.0,124.903,1,124.903,12.9,real_measurement
09:24:09,1,146,74.0,417.546,1,417.546,8.4,real_measurement
09:24:14,1,288,73.0,410.404,1,410.404,16.1,real_measurement
