timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
12:38:44,0,0,0.0,121.813,1,121.813,10.2,real_measurement
12:38:53,0,15,22.0,124.993,1,124.993,13.5,real_measurement
12:38:58,0,80,77.0,432.165,1,432.165,8.3,real_measurement
12:39:03,0,100,0.0,128.776,1,128.776,8.8,real_measurement
12:39:09,0,149,0.0,123.43,1,123.43,14.0,real_measurement
12:39:14,0,162,0.0,121.993,1,121.993,10.9,real_measurement
12:39:19,0,269,72.0,211.747,1,211.747,11.8,real_measurement
12:39:29,0,402,0.0,130.336,1,130.336,12.4,real_measurement
12:39:34,0,523,72.0,415.197,1,415.197,15.9,real_measurement
12:39:39,0,668,71.0,417.231,1,417.231,12.3,real_measurement
12:39:44,0,819,75.0,443.717,1,443.717,9.9,real_measurement
12:39:49,0,952,67.0,402.211,1,402.211,11.3,real_measurement
12:39:54,0,1105,76.0,446.661,1,446.661,11.4,real_measurement
12:40:00,0,1241,0.0,124.352,1,124.352,13.0,real_measurement
12:40:05,0,1387,76.0,440.946,1,440.946,9.1,real_measurement
12:40:10,0,1540,71.0,405.016,1,405.016,9.2,real_measurement
12:40:15,0,1684,77.0,449.402,1,449.402,17.6,real_measurement
12:40:20,0,1829,74.0,409.557,1,409.557,13.7,real_measurement
12:40:25,0,1984,79.0,449.269,1,449.269,10.1,real_measurement
12:40:30,0,2136,70.0,403.467,1,403.467,9.3,real_measurement
12:40:35,0,2273,71.0,409.466,1,409.466,17.6,real_measurement
12:40:40,0,2419,75.0,423.022,1,423.022,9.9,real_measurement
12:40:45,0,2573,71.0,412.961,1,412.961,8.3,real_measurement
12:40:50,0,2713,74.0,415.686,1,415.686,15.8,real_measurement
12:40:55,0,2863,81.0,446.467,1,446.467,11.3,real_measurement
12:41:00,0,3011,66.0,404.472,1,404.472,12.1,real_measurement
12:41:05,0,3155,69.0,422.065,1,422.065,12.0,real_measurement
12:41:10,0,3300,75.0,422.28,1,422.28,13.1,real_measurement
12:41:15,0,3446,72.0,420.178,1,420.178,7.5,real_measurement
12:41:20,0,3592,72.0,420.468,1,420.468,11.6,real_measurement
12:41:25,0,3738,73.0,422.654,1,422.654,11.8,real_measurement
12:41:30,0,3887,72.0,401.678,1,401.678,14.3,real_measurement
12:41:35,0,4033,74.0,426.156,1,426.156,12.0,real_measurement
12:41:40,0,4190,79.0,445.42,1,445.42,8.9,real_measurement
12:41:45,0,4335,66.0,396.423,1,396.423,12.9,real_measurement
