timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
03:24:42,0,0,0.0,84.451,1,84.451,6.1,real_measurement
03:24:49,0,0,0.0,83.718,1,83.718,9.5,real_measurement
03:24:54,0,89,94.0,287.548,1,287.548,11.9,real_measurement
03:24:59,0,178,94.0,288.301,1,288.301,12.3,real_measurement
03:25:04,0,267,94.0,286.694,1,286.694,12.3,real_measurement
03:25:09,0,356,95.0,286.866,1,286.866,11.8,real_measurement
03:25:14,0,486,94.0,289.618,1,289.618,11.7,real_measurement
03:25:19,0,575,94.0,291.058,1,291.058,11.4,real_measurement
03:25:24,0,664,94.0,287.369,1,287.369,11.7,real_measurement
03:25:29,0,750,39.0,268.561,1,268.561,11.4,real_measurement
03:25:35,0,838,94.0,289.296,1,289.296,11.8,real_measurement
03:25:38,0,-1,2.0,79.35,1,79.35,8.7,real_measurement
