timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
03:22:14,0,0,0.0,83.384,1,83.384,6.2,real_measurement
03:22:21,0,0,62.0,80.401,1,80.401,9.4,real_measurement
03:22:26,0,85,94.0,284.898,1,284.898,12.3,real_measurement
03:22:31,0,173,94.0,281.378,1,281.378,12.5,real_measurement
03:22:36,0,262,94.0,282.045,1,282.045,12.5,real_measurement
03:22:41,0,351,94.0,282.673,1,282.673,11.9,real_measurement
03:22:46,0,483,94.0,284.766,1,284.766,12.1,real_measurement
03:22:51,0,573,94.0,285.959,1,285.959,12.0,real_measurement
03:22:56,0,663,94.0,284.705,1,284.705,11.9,real_measurement
03:23:01,0,752,94.0,284.625,1,284.625,12.3,real_measurement
03:23:06,0,840,94.0,286.047,1,286.047,11.8,real_measurement
03:23:10,0,-1,0.0,78.934,1,78.934,8.3,real_measurement
