timestamp,epoch,step,gpu_util_percent,gpu_power_w,num_gpus,total_gpu_power_w,cpu_util_percent,note
03:25:52,0,0,3.0,84.11,1,84.11,6.0,real_measurement
03:25:59,0,0,0.0,84.081,1,84.081,9.7,real_measurement
03:26:04,0,87,93.0,282.752,1,282.752,13.0,real_measurement
03:26:09,0,174,94.0,283.581,1,283.581,14.3,real_measurement
03:26:14,0,305,95.0,282.56,1,282.56,12.2,real_measurement
03:26:19,0,394,94.0,284.718,1,284.718,12.2,real_measurement
03:26:24,0,483,94.0,284.369,1,284.369,12.1,real_measurement
03:26:29,0,572,96.0,283.426,1,283.426,11.8,real_measurement
03:26:34,0,660,94.0,282.609,1,282.609,12.2,real_measurement
03:26:39,0,749,95.0,282.948,1,282.948,12.4,real_measurement
03:26:45,0,849,0.0,72.675,1,72.675,10.7,real_measurement
03:26:45,0,-1,0.0,72.675,1,72.675,2.8,real_measurement
